148:718,780,947,226,4021,262,378,1276,301,2967
115:1276,301,94,226,17,518,353,947,780,718
60:301,17,94,554,650,62,226,1403,518,1832
143:394,3231,21533,11651,10043,16595,83821,95698,20440,9451
44:45,301,224,409,17,94,2266,650,780,238
171:45,409,94,17,301,378,554,226,953,224
116:226,5048,2967,3307,1539,780,719,94,2715,718
94:5287,947,4292,353,131,1002,1276,3976,3307,8
1:117,5975,1462,225,301,226,3972,736,3307,718
177:8,17,94,45,226,780,787,1119,518,554
45:46,347,16995,2139,409,1804,17,698,702,670
172:45,409,17,4456,238,650,554,3101,224,353
161:8,17,518,1119,5048,353,4456,224,62,554
150:224,650,17,94,518,554,1245,238,616,58
106:45,301,226,94,409,17,780,1119,238,650
18:18,14035,7905,518,8,20547,27705,15122,17,797
7:94,17,301,787,650,518,226,554,1119,224
156:17,518,4456,1403,94,353,226,3101,1050,409
46:301,947,1119,1276,780,224,718,17,1410,226
41:8,518,17,1471,353,301,5048,2266,45,226
19:
69:3855,5048,8,301,1276,409,94,947,45,2266
36:947,1119,301,1187,5048,718,1276,3855,1539,8
174:45977,571,94,11146,358,131,7358,2302,699,185
42:1471,226,8,301,518,94,4456,131,17,409
70:1119,301,224,17,866,2021,947,361,891,94
59:5048,8,17,94,226,518,1471,699,1119,301
37:947,4292,5287,3976,353,131,301,1002,2955,1065
142:1276,947,5048,301,780,94,45,224,4456,17
43:1119,301,226,2967,70,17,780,262,1535,873
